obj,src,value
"Lynskey, Melanie",wikipedia,New Plymouth
"Lynskey, Melanie",howold,Alabama
"Loeb, Lisa",wikipedia,Bethesda
"Loeb, Lisa",howold,Bethesda
"Blair, Cherie",wikiquote,Bristol
"Blair, Cherie",wikipedia,Bury
"Blair, Cherie",howold,Bury
"Basil, Toni",wikipedia,Philadelphia
"Basil, Toni",howold,Pennsylvania
"Brunet, Luiza",wikipedia,Brazil
"Brunet, Luiza",howold,Mol
"Frayn, Michael",wikiquote,Methuen
"Frayn, Michael",wikipedia,London
"Frayn, Michael",howold,Copenhagen
"Miike, Takashi",wikipedia,Yao
"Miike, Takashi",howold,Japan
"Longley, Mitch",wikipedia,Mitchell
"Longley, Mitch",howold,Cleveland
"Mana, Camille",wikipedia,Orange
"Mana, Camille",howold,California
"Lott, Pixie",wikipedia,Bromley
"Lott, Pixie",howold,London
"Pascal, Adam",wikipedia,Bronx
"Pascal, Adam",howold,The Bronx
"Miranda, Lin-Manuel",wikipedia,New York
"Miranda, Lin-Manuel",howold,New York
"Swayze, Patrick",latimes,Houston
"Swayze, Patrick",wikipedia,Houston
"Swayze, Patrick",howold,Houston
"Forsberg, Peter",wikipedia,Sweden
"Forsberg, Peter",howold,Sweden
"Difranco, Ani",wikiquote,Washington
"Difranco, Ani",aceshowbiz,Buffalo
"Difranco, Ani",wikipedia,Buffalo
"Difranco, Ani",howold,Buffalo
"Huerta, Roger",wikipedia,Los Angeles
"Huerta, Roger",howold,Los Angeles
"Spaak, Catherine",wikipedia,Boulogne-Billancourt
"Spaak, Catherine",howold,Hauts-de-Seine
"McNab, Mercedes",wikipedia,Vancouver
"McNab, Mercedes",howold,British Columbia
"Scheff, Jason",wikipedia,San Diego
"Scheff, Jason",howold,San Diego
"Friedle, Will",wikipedia,Hartford
"Friedle, Will",howold,Hartford
"Leary, Brianne",wikipedia,Providence
"Leary, Brianne",howold,USA
"Rowan, Dan",wikipedia,Beggs
"Rowan, Dan",howold,Beggs
"Yune, Karl",lifetimetv,Trinidad
"Yune, Karl",wikipedia,Washington
"Yune, Karl",howold,Washington
"Hall, Anthony Michael",wikipedia,West Roxbury
"Jane, Jesse",wikipedia,Fort Worth
"Jane, Jesse",howold,Fort Worth
"Mysterio, Rey",wikipedia,California
"Mysterio, Rey",howold,Mexico
"Presnell, Harve",wikipedia,Modesto
"Presnell, Harve",howold,Modesto
"Forrest, Frederic",wikipedia,Waxahachie
"Forrest, Frederic",howold,Waxahachie
"Yellen, Linda",wikipedia,New York
"Yellen, Linda",howold,New York
"Aitken, Maria",wikipedia,Dublin
"Aitken, Maria",howold,Dublin
"Rowlands, Patsy",wikipedia,Palmers Green
"Rowlands, Patsy",howold,England
"Jones, Vinnie",wikipedia,Watford
"Jones, Vinnie",howold,England
"Gilman, Billy",wikipedia,Westerly
"Gilman, Billy",howold,Rhode Island
"Kinney, Emily",wikipedia,Wayne
"Kinney, Emily",howold,Wayne
"Avnet, Jon",wikipedia,Brooklyn
"Avnet, Jon",howold,Brooklyn
"Lyn, Nicole",lifetimetv,Trinidad
"Lyn, Nicole",wikipedia,Brampton
"Lyn, Nicole",howold,Ontario
"Allende, Isabel",wikipedia,Allende
"Allende, Isabel",howold,Peru
"Sibbett, Jane",wikipedia,Berkeley
"Sibbett, Jane",howold,Berkeley
"Raisa, Francia",wikipedia,Los Angeles
"Raisa, Francia",howold,California
"Schuck, John",wikipedia,Boston
"Schuck, John",howold,Boston
"Barladeanu, Monica",wikipedia,Romania
"Hanauer, Chip",wikipedia,Seattle
"Hanauer, Chip",howold,Seattle
"Tahimik, Kidlat",wikipedia,Benguet
"Tahimik, Kidlat",howold,Baguio City
"Radcliffe, Daniel",wikiquote,Fulham
"Radcliffe, Daniel",popsugar,London
"Radcliffe, Daniel",latimes,Fulham
"Radcliffe, Daniel",wikipedia,Hammersmith
"Radcliffe, Daniel",howold,Fulham
"Radcliffe, Daniel",aceshowbiz,Fulham
"Faithfull, Marianne",wikipedia,Hampstead
"Faithfull, Marianne",howold,London
"Church, Charlotte",wikipedia,Llandaff
"Church, Charlotte",howold,Charlotte
"Reijn, Halina",wikipedia,Amsterdam
"Reijn, Halina",howold,Amsterdam
"Ovitz, Michael",wikipedia,Chicago
"Ovitz, Michael",howold,Chicago
"Salmi, Albert",wikipedia,Brooklyn
"Salmi, Albert",howold,Brooklyn
"Malone, Dorothy",latimes,Chicago
"Malone, Dorothy",wikipedia,Chicago
"Malone, Dorothy",howold,Chicago
"Portman, Natalie",wikiquote,Jerusalem
"Portman, Natalie",aceshowbiz,Jerusalem
"Portman, Natalie",wikipedia,Jerusalem
"Portman, Natalie",popsugar,Jerusalem
"Portman, Natalie",howold,Jerusalem
