ID,name,parentID
872,South Hwangghae Province,871
873,Nampho,872
874,South Phyongan Province,873
875,Pyongyang,874
876,Fiji,808
877,India,808
878,Delhi,877
879,State of Goa,877
880,Badami Taluk,877
881,Bijapur District,880
882,State of Karnataka,881
883,State of Madhya Pradesh,877
884,Lenapur Village,877
885,Soyagon Taluka,884
886,Aurangabad District,885
887,Maharashtra State,886
888,Verul Village,877
889,Khulatabad Taluk,888
890,Aurangabad District,889
891,Maharashtra State,890
892,District Kolaba (Island of Elephanta),877
893,Maharashtra State,892
894,Puri District,877
895,State of Orissa,894
896,Chingleput District,877
897,Tamil Nadu State,896
898,Agra District,877
899,Uttar Pradesh,898
900,State of Uttaranchal,877
901,State of Assam,877
902,West Bengal,877
903,Madhya Pradesh,877
904,Maharashtra State,877
905,City of Mumbai,904
906,Eastern India,877
907,State of Bihar,906
908,district of Panchmahal,877
909,Gujarat state,908
910,New Delhi,877
911,Central District,910
912,New Delhi State,911
913,Bellary District,877
914,Karnataka,913
915,State of Bihar,877
916,Indonesia,808
917,Province of Central Java,916
918,Regency of Magelang,917
919,East Nusa Tenggara Province,916
920,Province of Papua (formerly Irian Jaya),916
921,Iran (Islamic Republic of),808
922,Khuzestan,921
923,Fars,921
924,Esfahan,921
925,Western Azerbaijan Province,921
926,Pars Province,921
927,Zanjan province,921
928,Province of Kermanshah,921
929,Bam District,921
930,Kerman Province,929
931,Japan,808
932,Nara Prefecture,931
933,Hyogo Prefecture,931
934,Hiroshima Prefecture,931
935,Tochigi Prefecture,931
936,Okinawa Prefecture,931
937,Hokkaido prefecture,931
938,Ohda City District,931
939,Shimane Prefecture,938
940,Kazakhstan,808
941,City of Turkestan,940
942,South Kazakhstan Oblast,941
943,Almaty Oblast,940
944,Kiribati,808
945,Kyrgyzstan,808
946,Lao People's Democratic Republic,808
947,Champasak Province,946
948,Province of Luang Prabang,946
949,Malaysia,808
950,State of Sabah,949
951,island of Borneo,949
952,northern Sarawak,951
953,Marshall Islands,808
954,Micronesia (Federated States of),808
955,Mongolia,808
956,Orkhon-Kharkorin Region,955
957,Myanmar,808
958,Nepal,808
959,Solu-Khumbu District of the Sagarmatha Zone,958
960,Chitwan District of the Narayani Zone,958
961,Western Terai,958
962,Rupandehi District,961
963,Lumbini Zone,962
964,Kathmandu Valley,958
965,New Zealand,808
966,Southwest of South Island,965
967,New Zealand Subantartic zone,965
968,Pakistan,808
969,Sind,968
970,Province of Punjab,968
971,North West Frontier Province,968
972,Province of Sind,968
973,Punjab,968
974,Lahore,973
975,Jhelum City,973
976,Palau,808
977,Papua New Guinea,808
978,Philippines,808
979,Province of Ilocos Sur,978
980,Palawan Province,978
981,Luzon Island,978
982,Cordillera Region,981
983,Ifugao Province,982
984,Province of Palawan,978
985,Municipality  of Cagayancillo,984
986,Republic of Korea,808
987,Gyeongju City,986
988,Seoul,986
989,Gyeonggi-do Province,986
990,Gyeongsangbuk-do Province,986
991,Gyeongju City,990
992,Singapore,808
993,Sri Lanka,808
994,Anuradhapura District,993
995,North Central Province,994
996,Polonnaruva District,993
997,North Central Province,996
998,Matale District,993
999,Central Province,998
1000,Central Province,993
1001,Southern Province,993
1002,City of Galle,1001
1003,Tajikistan,808
1004,Thailand,808
1005,Udon Thani Province,1004
1006,Ayutthaya Province,1004
1007,Turkmenistan,808
1008,Mary Vilayet,1007
1009,Dashoguz Vilayet (Province),1007
1010,Akhal Vilayet,1007
1011,Etrap of Rukhabad,1010
1012,Bagyr settlement,1011
1013,Uzbekistan,808
1014,Khiva,1013
1015,Khorezm region,1014
1016,Samarkand Region,1013
1017,Kashkadarya region,1013
1018,Bukhara region,1013
1019,Vanuatu,808
1020,Viet Nam,808
1021,Province: Quang Ninh,1020
1022,Province: Thua Thien,1020
1023,Hue,1022
1024,Quang Nam Province,1020
1025,Hoi An Town,1024
1026,Duy Xuyen District,1024
1027,Duy Phu Commune,1026
